restaurant,reviewer,review,rating,metadata,time,review_count,follower_count,char_count,word_count,clean_review,tokens,lexical_diversity,repetition_ratio,adj_ratio,noun_ratio,verb_ratio,superlative_count,exclamation_count,flesch_reading_ease,neg,neu,pos,compound
Shree Santosh Dhaba Family Restaurant,Puduru Sunil Kumar,very good,5.0,"0 Reviews , 1 Follower",2018-07-27 22:14:00,0.0,1.0,9.0,2.0,very good,['good'],1.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.238,0.762,0.4927
Ulavacharu,Sandeep Das,"Lovely ambience and equally lovely tasty food . Best part is the valet parking. Good variety of options of authentic food. We had starters, main course and appetisers . There is a complimentary jalebi and at the end masala pan which is a very nice gesture . Overall a very good experience",4.0,"102 Reviews , 268 Followers",2018-11-03 14:31:00,102.0,268.0,288.0,52.0,"Lovely ambience and equally lovely tasty food . Best part is the valet parking. Good variety of options of authentic food. We had starters, main course and appetisers . There is a complimentary jalebi and at the end masala pan which is a very nice gesture . Overall a very good experience","['lovely', 'ambience', 'equally', 'lovely', 'tasty', 'food', 'best', 'part', 'valet', 'parking', 'good', 'variety', 'option', 'authentic', 'food', 'starter', 'main', 'course', 'appetiser', 'complimentary', 'jalebi', 'end', 'masala', 'pan', 'nice', 'gesture', 'overall', 'good', 'experience']",0.896551724137931,0.1034482758620689,0.2,0.2909090909090909,0.0363636363636363,0.0,0.0,60.42338435374151,0.0,0.62,0.38,0.9747
Hotel Zara Hi-Fi,Kolluri Rajendra Prasad,Quality is decreasing exponentially i request you to please dont order food here why because my health got damaged very badly after eating food here.,1.0,1 Review,2019-02-16 19:03:00,1.0,,149.0,25.0,Quality is decreasing exponentially i request you to please dont order food here why because my health got damaged very badly after eating food here.,"['quality', 'decrease', 'exponentially', 'request', 'please', 'order', 'food', 'health', 'get', 'damage', 'badly', 'eat', 'food']",0.9230769230769232,0.0769230769230768,0.0,0.1481481481481481,0.1851851851851851,0.0,0.0,42.71600000000004,0.213,0.71,0.078,-0.6115
Shanghai Chef 2,Satish,Ordered sesame chilly chicken for home delivery and it was one of the worst chicken dishes I have had. Chicken was like rubber and they had added so much spices that it was almost bitter. They didn't even have the sense to send a spoon or fork and some tissues.,1.0,"5 Reviews , 3 Followers",2018-10-03 00:07:00,5.0,3.0,261.0,50.0,Ordered sesame chilly chicken for home delivery and it was one of the worst chicken dishes I have had. Chicken was like rubber and they had added so much spices that it was almost bitter. They didn't even have the sense to send a spoon or fork and some tissues.,"['ordered', 'sesame', 'chilly', 'chicken', 'home', 'delivery', 'one', 'bad', 'chicken', 'dish', 'chicken', 'like', 'rubber', 'add', 'much', 'spice', 'almost', 'bitter', 'even', 'sense', 'send', 'spoon', 'fork', 'tissue']",0.9166666666666666,0.0833333333333333,0.074074074074074,0.2222222222222222,0.0925925925925925,1.0,0.0,73.17033333333337,0.122,0.832,0.046,-0.6258
Owm Nom Nom,Raghu Alluri,Painfully Slow delivery. Exceedingly Oily and bland. Definitely not recommending it. They gave us all kinds of odd and inconsistent reasons for the delay so not satisfied by the whole experience. Sorry.,1.0,"58 Reviews , 78 Followers",2019-01-28 13:51:00,58.0,78.0,202.0,32.0,Painfully Slow delivery. Exceedingly Oily and bland. Definitely not recommending it. They gave us all kinds of odd and inconsistent reasons for the delay so not satisfied by the whole experience. Sorry.,"['painfully', 'slow', 'delivery', 'exceedingly', 'oily', 'bland', 'definitely', 'recommend', 'give', 'kind', 'odd', 'inconsistent', 'reason', 'delay', 'satisfied', 'whole', 'experience', 'sorry']",1.0,0.0,0.1891891891891892,0.1351351351351351,0.054054054054054,0.0,0.0,45.377500000000026,0.293,0.64,0.066,-0.8026
Dine O China,Naveen Kolluguri,Went to this place on a Sunday night the place is small and it was crowded. We ordered Veg wontons for starter along with veg hot and sour soup both of them were good and then for main course ordered chicken Chinese choppsuey and it was very good. They were running some promotion for cool berg drinks tried there mint flavor and it was horrible,4.0,"113 Reviews , 2788 Followers",2018-10-14 14:34:00,113.0,2788.0,345.0,65.0,Went to this place on a Sunday night the place is small and it was crowded. We ordered Veg wontons for starter along with veg hot and sour soup both of them were good and then for main course ordered chicken Chinese choppsuey and it was very good. They were running some promotion for cool berg drinks tried there mint flavor and it was horrible,"['go', 'place', 'sunday', 'night', 'place', 'small', 'crowd', 'order', 'veg', 'wonton', 'starter', 'along', 'veg', 'hot', 'sour', 'soup', 'good', 'main', 'course', 'order', 'chicken', 'chinese', 'choppsuey', 'good', 'run', 'promotion', 'cool', 'berg', 'drink', 'try', 'mint', 'flavor', 'horrible']",0.8787878787878788,0.1212121212121212,0.1343283582089552,0.2537313432835821,0.0895522388059701,0.0,0.0,76.81564102564104,0.049,0.838,0.113,0.5574
The Fisherman's Wharf,Anurag Singh Rajput,"Very slow service, it took us more than 2.5 hours just to have dinner. Totally disappointed with respect to the amount of money they are charging.",2.0,"3 Reviews , 3 Followers",2019-03-25 22:31:00,3.0,3.0,146.0,26.0,"Very slow service, it took us more than 2.5 hours just to have dinner. Totally disappointed with respect to the amount of money they are charging.","['slow', 'service', 'take', '2.5', 'hour', 'dinner', 'totally', 'disappoint', 'respect', 'amount', 'money', 'charge']",1.0,0.0,0.0689655172413793,0.2068965517241379,0.1379310344827586,0.0,0.0,71.13833333333336,0.11,0.78,0.109,-0.0076
Biryanis And More,Debjit Hazra,"The biryani here I found very delicious but needs more improvement in taste. All spices were blended and mixed well, but one thing they used a lot of spices that could probably disturb the taste",3.0,"6 Reviews , 3 Followers",2019-04-29 16:52:00,6.0,3.0,194.0,35.0,"The biryani here I found very delicious but needs more improvement in taste. All spices were blended and mixed well, but one thing they used a lot of spices that could probably disturb the taste","['biryani', 'find', 'delicious', 'need', 'improvement', 'taste', 'spice', 'blend', 'mixed', 'well', 'one', 'thing', 'use', 'lot', 'spice', 'could', 'probably', 'disturb', 'taste']",0.8947368421052632,0.1052631578947368,0.081081081081081,0.2432432432432432,0.1351351351351351,0.0,0.0,77.8839285714286,0.084,0.688,0.228,0.7215
Dine O China,Siri Sha,dint taste good at all... had food in dine o China before and was very impressed with the food.. but the ordered food tasted like roadside Chinese noodles...,2.0,1 Review,2018-07-20 20:52:00,1.0,,157.0,28.0,dint taste good at all... had food in dine o China before and was very impressed with the food.. but the ordered food tasted like roadside Chinese noodles...,"['dint', 'taste', 'good', 'food', 'dine', 'china', 'impressed', 'food', 'order', 'food', 'taste', 'like', 'roadside', 'chinese', 'noodle']",0.8,0.1999999999999999,0.1290322580645161,0.2903225806451613,0.0967741935483871,0.0,0.0,85.56880952380955,0.0,0.764,0.236,0.7504
Over The Moon Brew Company,Vamsi Prathya,"This is good place to hangout, Hospitality of this restaurant is very good. Went to this place with bunch of friends had a great time and good 🍻",4.0,"29 Reviews , 51 Followers",2019-05-13 20:19:00,29.0,51.0,144.0,28.0,"This is good place to hangout, Hospitality of this restaurant is very good. Went to this place with bunch of friends had a great time and good","['good', 'place', 'hangout', 'hospitality', 'restaurant', 'good', 'go', 'place', 'bunch', 'friend', 'great', 'time', 'good']",0.7692307692307693,0.2307692307692307,0.1379310344827586,0.2413793103448276,0.1034482758620689,0.0,0.0,83.46583333333336,0.0,0.569,0.431,0.9423
